id,trigger,conditions,script,text,options,notes
#RULESET_NAME galaxytigers,,,,,,
,,,,,,
# Galaxy Tigers fleet greeting lines,,,,,,
greetinggalaxytigersFriendly,OpenCommLink,"$faction.id == galaxytigers
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hey, it's great to see a familiar face! The Galaxy Tigers salute you Commander! Burn bright and have a great day.""",,
greetinggalaxytigersHostileWeaker,OpenCommLink,"$faction.id == galaxytigers
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Your fleet has been identified as hostile. Don't try to engage us, the Grand Tiger never forgets what their enemies do to us!""",cutCommLink:Cut the comm link,
greetinggalaxytigersHostileStronger,OpenCommLink,"$faction.id == galaxytigers
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Hey, if it isn't $playerName, one of our best enemies! I hope you are ready for what is about to happen to you and your crew...""
The comm link is then cutted.",cutCommLink:Cut the comm link,
greetinggalaxytigersHostileWeakerDefiant,OpenCommLink,"$faction.id == galaxytigers
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"""You are identified as our enemy. We suggest you to E-Burn out of this area as soon as you can.""",cutCommLink:Cut the comm link,
greetinggalaxytigersNeutral,OpenCommLink,"$faction.id == galaxytigers
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Hello Commander. The Galaxy Tigers are pleased to wish you a great day.""",,
#END Galaxy Tigers fleet greeting lines,,,,,,
,,,,,,
# Galaxy Tigers Drone Guard fleet greeting lines,,,,,,
greetinggalaxytigersdroneguardFriendly,OpenCommLink,"$faction.id == galaxytigers
$faction.friendlyToPlayer
$tag:galaxytigers_ai_commander score:100","$menuState = fleetConvMain 0
FireAll PopulateOptions","[FLEET IDENTIFICATION FINISHED]
[IS TARGET HOSTILE? NO]
[INITIATE DIALOG]

""Greetings $playerName. This is a pleasure to meet you. If the Galaxy Tigers can do anything to help you, don't hesitate to reach out one of our officials.""

[END OF PROTOCOL]",,
greetinggalaxytigersdroneguardHostileWeaker,OpenCommLink,"$faction.id == galaxytigers
$entity.isHostile
$entity.relativeStrength < 0
$tag:galaxytigers_ai_commander score:100",$entity.ignorePlayerCommRequests = true 1,"[FLEET IDENTIFICATION FINISHED]
[IS TARGET HOSTILE? YES]
[INITIATE DIALOG]

""Your fleet has been identified as hostile. Any offensive action will result into an armed response. Proceed at your own risk.""

[END OF PROTOCOL]",cutCommLink:Cut the comm link,
greetinggalaxytigersdroneguardHostileStronger,OpenCommLink,"$faction.id == galaxytigers
$entity.isHostile
$entity.relativeStrength >= 0
$tag:galaxytigers_ai_commander score:100",$entity.ignorePlayerCommRequests = true 1,"[FLEET IDENTIFICATION FINISHED]
[IS TARGET HOSTILE? YES]
[INITIATE DIALOG]

""Your fleet has been identified as hostile. We recommend you to give up and surrender yourself. If you don't comply, these vessels will use their weapons to get you down.""

[END OF PROTOCOL]",cutCommLink:Cut the comm link,
greetinggalaxytigersdroneguardHostileWeakerDefiant,OpenCommLink,"$faction.id == galaxytigers
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$tag:galaxytigers_ai_commander score:100",$entity.ignorePlayerCommRequests = true 1,"[FLEET IDENTIFICATION FINISHED]
[IS TARGET HOSTILE? YES]
[INITIATE DIALOG]

""Your fleet has been identified as hostile. These vessels will now activate their combat systems to ensure the Galaxy Tigers' security.""

[END OF PROTOCOL]",cutCommLink:Cut the comm link,
greetinggalaxytigersdroneguardNeutral,OpenCommLink,"$faction.id == galaxytigers
$faction.neutralToPlayer
$tag:galaxytigers_ai_commander score:100","$menuState = fleetConvMain 0
FireAll PopulateOptions","[FLEET IDENTIFICATION FINISHED]
[IS TARGET HOSTILE? NO]
[INITIATE DIALOG]

""Greetings Commander. The Galaxy Tigers are pleased to welcome another visitor and to wish you a great day.""

[END OF PROTOCOL]",,
#END Galaxy Tigers Drone Guard fleet greeting lines,,,,,,
,,,,,,
# GT drone guard fleet intercepting w/ transponder off,,,,,,
galaxytigersdronefuardTOffPatrolOpenComm,OpenCommLink,"$faction.id == galaxytigers
$tag:galaxytigers_ai_commander score:100
$entity.transponderOffConv score:100","AddText ""[FLEET IDENTIFICATION IMPOSSIBLE]\n[INITIATE DIALOG]\n\n\""Greetings Commander. You aren't allowed to run with your transponder off in $faction space. Please turn your transponder on to let us identify yourself. You are also ordered to submit to a cargo scan for contraband.\""\n\n[END OF PROTOCOL]""
AdjustRep $faction.id TRANSPONDER_OFF
AdjustRepActivePerson TRANSPONDER_OFF",,"0:tOff_comply:Turn the transponder on and comply
1:tOff_refuse:Refuse and cut the comm link",
