name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Drone Support : Polyvalent Warden,galaxytigers_warden_support_hullmod,0,,Galaxy Tigers,"special, offensive, non-phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6500,,,,6,12,24,48,data.hullmods.GT_Drone_Hullmod_Warden_Polyvalent,"Fits an %s in a handmade bay. Its armaments are composed of an Arbalest Autocannon and a Light Assault Gun, which will be used to either %s or %s.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Warden (GT) drone supporting the ship.,graphics/hullmods/automated_escort_warden.png
Drone Support : Anti Armor Warden,galaxytigers_warden_support_antiarmor_hullmod,0,,Galaxy Tigers,"special, offensive, non-phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6500,,,,6,12,24,48,data.hullmods.GT_Drone_Hullmod_Warden_Antiarmor,"Fits an %s in a handmade bay. Its armaments are composed of an Arbalest Autocannon and a Light Assault Gun, which will be used to either %s or %s.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Warden (GT) drone supporting the ship.,graphics/hullmods/automated_escort_warden.png
Drone Support : Brawling Picket,galaxytigers_picket_support_brawling_hullmod,0,,Galaxy Tigers,"special, offensive, non_phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6500,,,,6,12,24,48,data.hullmods.GT_Drone_Hullmod_Picket_Brawling,"Fits an %s in a handmade bay. Its armaments are composed of a Light Mortar, a Light Dual Autocannon and a Wallbrick Gun, which will be used to %s or %s.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Picket (GT) drone supporting the ship.,graphics/hullmods/automated_escort_picket.png
Drone Support : Picket Escort,galaxytigers_picket_support_escort_hullmod,0,,Galaxy Tigers,"special, defensive, non_phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6000,,,,5,10,20,40,data.hullmods.GT_Drone_Hullmod_Picket_Escort,"Fits an %s in a handmade bay. Its armaments are composed of PD weapons, which will be used to %s. If no PD assistance is required, the drone will %s, if possible.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Picket (GT) drone supporting the ship.,graphics/hullmods/automated_escort_picket.png
Drone Support : EMP Picket,galaxytigers_picket_support_emp_hullmod,0,,Galaxy Tigers,"special, offensive, non_phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6500,,,,6,12,24,48,data.hullmods.GT_Drone_Hullmod_Picket_EMP,"Fits an %s in a handmade bay. Its armaments are composed of 2 Ion Cannons and a Micro Bolter, which will be used to %s or %s.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Picket (GT) drone supporting the ship.,graphics/hullmods/automated_escort_picket.png
Drone Support : Pressure Sentry,galaxytigers_sentry_support_hullmod,0,,Galaxy Tigers,"special, offensive, non-phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",7000,,,,8,16,30,60,data.hullmods.GT_Drone_Hullmod_Sentry_Pressure,"Fits an %s in a handmade bay. Its armaments are composed of missiles, which will be used to %s, and a laser. When out of missiles, the drone will %s.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Sentry (GT) drone supporting the ship.,graphics/hullmods/automated_escort_sentry.png
Drone Support : Sentry Escort,galaxytigers_sentry_support_escort_hullmod,0,,Galaxy Tigers,"special, offensive, non-phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6500,,,,5,10,20,40,data.hullmods.GT_Drone_Hullmod_Sentry_Escort,"Fits an %s in a handmade bay. Its armaments are composed of missiles and a Vulcan Cannon, which will be used to %s. If no PD assistance is required, the drone will %s, if possible.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Sentry (GT) drone supporting the ship.,graphics/hullmods/automated_escort_sentry.png
Drone Support : Defender Escort,defenderdronepd,0,,Galaxy Tigers,"special, defensive, non_phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Defenses, Requires Dock",6500,,,,5,10,20,40,data.hullmods.GT_Drone_Hullmod_Defender_PD,"Fits an %s in a handmade bay. Its armaments are composed of PD weapons, which will be used to %s. If enemy ships are close enough and no PD assitance is needed, the drone will %s instead.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Defender (GT) drone supporting the ship.,graphics/hullmods/automated_escort_defender.png
Drone Support : Strike Defender,galaxytigers_defender_support_strike_hullmod,0,,Galaxy Tigers,"special, offensive, non_phase, req_spaceport, galaxytigers, galaxytigers_bp","Special, Requires Dock",6500,,,,6,12,24,48,data.hullmods.GT_Drone_Hullmod_Defender_Strike,"Fits an %s in a handmade bay. Its armaments are composed of IR Pulse Lasers and Railguns, which will be used to %s or %s.

This ship is a %s. It is %s. Due to the %s equipment, refitting a destroyed drone %s.

This hullmod works but isn't perfect yet. If you try to remove the drone, it will be instantly replaced by another. The supposedly removed one will be in your inventory. It has no value and can't be sold, and even though it is perfectly usable, the drone is supposed to be only placed in a single bay with this hullmod, so you can drop it in space, it'll be fine (unless you want to cheat a bit, then use it at will).
Trying to replace the drone will not work either since the wing you'll try to place will instantly get replaced by another drone, but the OP the wing cost will be taken in account. The only way to reverse this is to strip the ship out of all of what it is equiped with.
Sorry for any eventual inconvenience this may cause.",Add a Defender (GT) drone supporting the ship.,graphics/hullmods/automated_escort_defender.png
,,,,,,,,,,,,,,,,,,
