id,type,text1,text2,text3,notes
#Ships,,,,,
galaxytigers_hawkeye,SHIP,"The Hawkeye utility drone is a great addition to any exploration or salvage fleet willing to add up a cheap vessel very useful to survey planets and analyse anything that can be scavenged. Even if it lacks any weapons to defend itself, the drone is built with a small shield generator to block as much incoming threats as it can, and is still very appreciated for its simple maintenance procedures and its reliability.",,,
galaxytigers_shank,SHIP,"With inspiration drawn from the early Domain drones, this craft has been developed from combined salvaged parts of the Explorarium drones and modern technological developments. Having decent agility and a fully-functional military grade shield generator, it's functionnality as a defensive craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort and defense craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_defender,SHIP,"With inspiration drawn from the early Domain Defender drone, this craft has been developed from salvaged parts off of the Explorarium's drone and was re-imagined using more modern technological developments and ever-so-slightly changed to fit the desires of the GT's Naval Authority. Getting improved agility from modernization, front weapon mounts modifications and a fully-functional military grade shield generator, it's functionality as a defensive and scouting craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort, defense and scout craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_warden,SHIP,"With inspiration drawn from the early Domain Warden drone, this craft has been developed from salvaged parts off of the Explorarium's drone and was re-imagined using more modern technological developments and ever-so-slightly changed to fit the desires of the GT's Naval Authority. Getting improved agility from modernization, a weapon mount modification and a fully-functional military grade shield generator, it's functionality as a defensive and scouting craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort, defense and scout craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_sentry,SHIP,"With inspiration drawn from the early Domain Sentry drone, this craft has been developed from salvaged parts off of the Explorarium's drone and was re-imagined using more modern technological developments and ever-so-slightly changed to fit the desires of the GT's Naval Authority. Getting improved agility from modernization, an additional weapon mount and a fully-functional military grade shield generator, it's functionality as a defensive and scouting craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort, defense and scout craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_picket,SHIP,"With inspiration drawn from the early Domain Picket drone, this craft has been developed from salvaged parts off of the Explorarium's drone and was re-imagined using more modern technological developments and ever-so-slightly changed to fit the desires of the GT's Naval Authority. Getting improved agility from modernization, weapon mounts modifications and a fully-functional military grade shield generator, it's functionality as a defensive and scouting craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort, defense and scout craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_smolslaught,SHIP,"The Tareb has been created by the Hegemony in order to fill a gap into the heavy frigate demand. Being armed with that much mounts, including a medium one, and its unique X-Ray Pulse Cannons makes this little vessel a threat that shouldn't be ignored. Over time, its similar shape with the Onslaught and its XPCs gave the Tareb the honor to be nicknamed the ""Smallslaught"" (or ""Smolslaught"" for the pirates).",,,
galaxytigers_smolslaught_p,SHIP,"A stolen Tareb slightly customized by the pirates. Now featuring red stripes to feel more ""piratey"", the Tareb also got a bit of rework on its XPCs to overclock them. They will noww fire at an insane rate, but at the cost of a high flux generation and frequent overheats limiting the bursts to only a few blasts.",,,
galaxytigers_cerbherd,SHIP,"The Cerbherd is a multi purpose ship combining combat freighter, drone tender and some surveying equipment. Having light structure and armor makes the Cerbherd pretty agile and even frightening when it uses its maneuvering jets. Combining it with its shields and a good loadout will transform this vessel into a beast capable of taking down destroyers.",,,
galaxytigers_rana,SHIP,This vessel is a dangerous and agile frigate carrying an integrated Brattice (GT) wing and even a medium weapon slot. The weapons disposition and their coverage make the Rana a fairly versatile ship. The only downsides are its weak armor and slightly low hull integrity.,,,
galaxytigers_truck,SHIP,"The Truck is a multi purpose Buffalo hybrid made to convey cargo and fuel. While hampered by a less important cargo capacity than a standard Buffalo, this small inconvenient is caught up by a very decent fuel capacity. If you need a freighter and a tanker, but you are limited by your fleet capacity or the amount of credits you have, the Truck is a decent choice for your fleet.",,,
galaxytigers_taurus,SHIP,"With inspiration drawn from the early Domain drones, this craft has been developed from combined salvaged parts of the Explorarium drones and modern technological developments. Having strong armor, an impressive arsenal, a bay for fighters and a fully-functional military grade shield generator, it's functionnality as a frontline craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective craft for quick fights, despite the ire it draws from the Hegemony, and more often the Luddic populous.
",,,
galaxytigers_trebuchet,SHIP,"With inspiration drawn from the early Domain drones, this craft has been developed from combined salvaged parts of the Explorarium drones and modern technological developments. Being agile and having a convenient arsenal and a fully-functional military grade shield generator, it's functionnality as a heavy support craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort and defense craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.
",,,
galaxytigers_bastillon,SHIP,"With inspiration drawn from the early Domain Bastillon drone, this craft has been developed from salvaged parts off of the Explorarium's drone and was re-imagined using more modern technological developments and ever-so-slightly changed to fit the desires of the GT's Naval Authority. Utilizing the 'Spider Nest' ship system, improved agility from modernization, weapon mounts modifications and a fully-functional military grade shield generator, it's functionality as a defensive craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort and defense craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_berserker,SHIP,"With inspiration drawn from the early Domain Berserker drone, this craft has been developed from salvaged parts off of the Explorarium's drone and was re-imagined using more modern technological developments and ever-so-slightly changed to fit the desires of the GT's Naval Authority. Getting improved agility from modernization, weapon mounts modifications and a fully-functional military grade shield generator, it's functionality as a defensive craft has not gone unused, and continues to this day.

This design has been used by the GT for a considerable time. An effective escort and defense craft, despite the ire it draws from the Hegemony, and more often the Luddic populous.",,,
galaxytigers_keeper,SHIP,"Inspired by the Explorarium design of a Keeper drone, this model has been used since a long time by the Galaxy Tigers. The first ones were produced not long after drones were launched from a loose automated mother ship in the Tigris star system. After many days of battles, the many drone fleets eventually got defeated and Galaxy Tigers engineers began to study their structures to finally come up with new designs, if needed, fitting the faction's preferences. The new Keeper design gained structure integrity, a not-so-makeshift shield generator, an integrated Dual Flak cannon and the Spider Nest system at the cost of being forced to use 2 integrated fighter wings, some speed and maneuverability, an impact on its peak performance and more required supplies to maintain it.

Some tests made directly on field showed the potential of this drone, mostly for a very effective support role, and the Keeper quickly got its place in almost every GT fleet.
Nowadays, it is still in use in the faction, ignoring the Hegemony's requests to stop their production due to the fact that it is an automated ship. However, the others doens't seem to mind this, excepted for the Luddites.",,,
